***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
BPP_200_120_0.1_0.8_3.C	98	6.200	61.280	0.021
BPP_200_120_0.1_0.8_4.C	107	3.000	65.400	0.068
BPP_200_120_0.1_0.8_5.C	103	3.200	63.080	0.111
BPP_200_120_0.1_0.8_6.C	102	2.600	62.240	0.016
BPP_200_120_0.1_0.8_7.C	102	5.600	63.440	0.129
BPP_200_120_0.1_0.8_8.C	96	9.200	61.280	0.179
BPP_200_120_0.1_0.8_9.C	108	6.800	67.520	0.205
BPP_200_125_0.1_0.8_0.C	104	6.600	65.040	0.023
BPP_200_125_0.1_0.8_1.C	111	6.200	69.080	0.033
BPP_200_125_0.1_0.8_2.C	100	5.400	62.160	0.197
BPP_200_125_0.1_0.8_3.C	100	10.400	64.160	0.175
BPP_200_125_0.1_0.8_4.C	101	7.800	63.720	0.193
BPP_200_125_0.1_0.8_5.C	107	6.800	66.920	0.066
BPP_200_125_0.1_0.8_6.C	101	3.200	61.880	0.202
BPP_200_125_0.1_0.8_7.C	94	4.600	58.240	0.149
BPP_200_125_0.1_0.8_8.C	102	4.800	63.120	0.184
BPP_200_125_0.1_0.8_9.C	102	1.800	61.920	0.096
BPP_200_150_0.1_0.8_0.C	103	2.400	62.760	0.059
BPP_200_150_0.1_0.8_1.C	103	4.200	63.480	0.089
BPP_200_150_0.1_0.8_2.C	101	4.600	62.440	0.048
BPP_200_150_0.1_0.8_3.C	103	7.200	64.680	0.092
BPP_200_150_0.1_0.8_4.C	109	7.000	68.200	0.032
BPP_200_150_0.1_0.8_5.C	102	6.000	63.600	0.173
BPP_200_150_0.1_0.8_6.C	107	4.200	65.880	0.040
BPP_200_150_0.1_0.8_7.C	108	11.600	69.440	0.084
BPP_200_150_0.1_0.8_8.C	104	3.000	63.600	0.166
BPP_200_150_0.1_0.8_9.C	102	2.200	62.080	0.103
BPP_200_200_0.1_0.8_0.C	103	0.400	61.960	0.166
BPP_200_200_0.1_0.8_1.C	104	10.200	66.480	0.037
BPP_200_200_0.1_0.8_2.C	95	8.400	60.360	0.021
BPP_200_200_0.1_0.8_3.C	99	3.600	60.840	0.105
BPP_200_200_0.1_0.8_4.C	102	7.400	64.160	0.043
BPP_200_200_0.1_0.8_5.C	100	1.600	60.640	0.036
BPP_200_200_0.1_0.8_6.C	106	1.600	64.240	0.040
BPP_200_200_0.1_0.8_7.C	101	2.600	61.640	0.063
BPP_200_200_0.1_0.8_8.C	105	4.400	64.760	0.155
BPP_200_200_0.1_0.8_9.C	103	4.800	63.720	0.036
BPP_200_300_0.1_0.8_0.C	100	0.000	60.000	0.129
BPP_200_300_0.1_0.8_1.C	106	4.000	65.200	0.109
BPP_200_300_0.1_0.8_2.C	106	1.000	64.000	0.184
BPP_200_300_0.1_0.8_3.C	108	9.600	68.640	0.154
BPP_200_300_0.1_0.8_4.C	104	10.200	66.480	0.044
BPP_200_300_0.1_0.8_5.C	96	3.200	58.880	0.052
BPP_200_300_0.1_0.8_6.C	106	4.400	65.360	0.066
BPP_200_300_0.1_0.8_7.C	100	3.400	61.360	0.029
BPP_200_300_0.1_0.8_8.C	100	5.600	62.240	0.079
BPP_200_300_0.1_0.8_9.C	106	4.000	65.200	0.039
BPP_200_400_0.1_0.8_0.C	111	11.800	71.320	0.041
BPP_200_400_0.1_0.8_1.C	104	1.000	62.800	0.044
BPP_200_400_0.1_0.8_2.C	111	2.600	67.640	0.026
BPP_200_400_0.1_0.8_3.C	104	4.800	64.320	0.228
BPP_200_400_0.1_0.8_4.C	101	10.000	64.600	0.061
BPP_200_400_0.1_0.8_5.C	95	4.600	58.840	0.099
BPP_200_400_0.1_0.8_6.C	97	2.000	59.000	0.092
BPP_200_400_0.1_0.8_7.C	105	2.800	64.120	0.024
BPP_200_400_0.1_0.8_8.C	102	0.800	61.520	0.125
BPP_200_400_0.1_0.8_9.C	104	2.200	63.280	0.155
BPP_200_500_0.1_0.8_0.C	108	3.400	66.160	0.039
BPP_200_500_0.1_0.8_1.C	101	9.200	64.280	0.042
BPP_200_500_0.1_0.8_2.C	92	10.000	59.200	0.160
BPP_200_500_0.1_0.8_3.C	103	12.200	66.680	0.094
BPP_200_500_0.1_0.8_4.C	102	3.400	62.560	0.194
BPP_200_500_0.1_0.8_5.C	106	4.000	65.200	0.145
BPP_200_500_0.1_0.8_6.C	103	3.800	63.320	0.217
BPP_200_500_0.1_0.8_7.C	98	9.200	62.480	0.147
BPP_200_500_0.1_0.8_8.C	116	6.800	72.320	0.117
BPP_200_500_0.1_0.8_9.C	104	7.400	65.360	0.078
BPP_200_50_0.1_0.8_0.C	89	3.800	54.920	0.140
BPP_200_50_0.1_0.8_1.C	101	4.000	62.200	0.073
BPP_200_50_0.1_0.8_2.C	93	7.200	58.680	0.069
BPP_200_50_0.1_0.8_3.C	102	4.400	62.960	0.084
BPP_200_50_0.1_0.8_4.C	102	0.200	61.280	0.085
BPP_200_50_0.1_0.8_5.C	105	0.400	63.160	0.175
BPP_200_50_0.1_0.8_6.C	107	1.400	64.760	0.062
BPP_200_50_0.1_0.8_7.C	97	2.800	59.320	0.137
BPP_200_50_0.1_0.8_8.C	95	3.400	58.360	0.149
BPP_200_50_0.1_0.8_9.C	99	5.800	61.720	0.170
BPP_200_750_0.1_0.8_0.C	104	12.200	67.280	0.123
BPP_200_750_0.1_0.8_1.C	101	10.400	64.760	0.036
BPP_200_750_0.1_0.8_2.C	101	8.400	63.960	0.035
BPP_200_750_0.1_0.8_3.C	103	12.000	66.600	0.031
BPP_200_750_0.1_0.8_4.C	102	2.000	62.000	0.199
BPP_200_750_0.1_0.8_5.C	99	7.800	62.520	0.043
BPP_200_750_0.1_0.8_6.C	105	4.200	64.680	0.024
BPP_200_750_0.1_0.8_7.C	104	4.600	64.240	0.096
BPP_200_750_0.1_0.8_8.C	100	3.600	61.440	0.226
BPP_200_750_0.1_0.8_9.C	106	3.600	65.040	0.214
BPP_200_75_0.1_0.8_0.C	99	4.000	61.000	0.142
BPP_200_75_0.1_0.8_1.C	102	2.800	62.320	0.176
BPP_200_75_0.1_0.8_2.C	95	0.800	57.320	0.171
BPP_200_75_0.1_0.8_3.C	110	4.200	67.680	0.131
BPP_200_75_0.1_0.8_4.C	103	1.800	62.520	0.078
BPP_200_75_0.1_0.8_5.C	99	4.800	61.320	0.144
BPP_200_75_0.1_0.8_6.C	96	7.000	60.400	0.205
BPP_200_75_0.1_0.8_7.C	104	4.400	64.160	0.186
BPP_200_75_0.1_0.8_8.C	96	6.800	60.320	0.183
BPP_200_75_0.1_0.8_9.C	105	9.600	66.840	0.252
BPP_50_1000_0.1_0.8_0.C	24	9.600	18.240	0.001
BPP_50_1000_0.1_0.8_1.C	25	9.000	18.600	0.002
BPP_50_1000_0.1_0.8_2.C	23	8.400	17.160	0.001
BPP_50_1000_0.1_0.8_3.C	27	8.200	19.480	0.000
BPP_50_1000_0.1_0.8_4.C	26	3.000	16.800	0.001
BPP_50_1000_0.1_0.8_5.C	30	1.800	18.720	0.001
